antiguedad,plan,metodo_pago,tipo_contrato,frecuencia_uso,cambios_plan,facturas_impagas,tickets_soporte,canal_adquisicion,friccion_del_servicio,engagement_score,valor_plan_num,ratio_valor_uso,riesgo_financiero,cliente_problematico,early_churn_risk,premium_mensual,churn
36,estandar,tarjeta_credito,anual,24,3,0,5,redes_sociales,0.2,0.53,9.99,0.3996,0.0,0,0,0,0
3,estandar,efectivo,mensual,22,3,2,9,redes_sociales,0.391304347826087,0.42083333333333334,9.99,0.43434782608695655,19.98,0,1,0,1
3,basico,tarjeta_debito,mensual,0,1,3,9,web,9.0,0.2475,4.99,4.99,14.97,1,1,0,1
35,basico,tarjeta_credito,mensual,7,2,3,2,referido,0.25,0.36083333333333334,4.99,0.62375,14.97,0,0,0,0
44,basico,tarjeta_credito,mensual,29,2,0,2,referido,0.06666666666666667,0.6766666666666667,4.99,0.16633333333333333,0.0,0,0,0,0
45,premium,tarjeta_credito,mensual,16,3,2,9,web,0.5294117647058824,0.4458333333333333,14.99,0.881764705882353,29.98,0,0,1,0
2,estandar,tarjeta_debito,mensual,28,2,1,3,redes_sociales,0.10344827586206896,0.5583333333333333,9.99,0.34448275862068967,9.99,0,1,0,1
8,estandar,tarjeta_debito,mensual,14,0,1,3,call_center,0.2,0.5066666666666666,9.99,0.666,9.99,0,0,0,0
15,premium,transferencia_bancaria,mensual,15,3,3,9,referido,0.5625,0.35750000000000004,14.99,0.936875,44.97,0,0,1,0
49,basico,tarjeta_debito,mensual,0,1,2,5,call_center,5.0,0.3625,4.99,4.99,9.98,0,0,0,1
43,estandar,tarjeta_credito,mensual,23,2,2,10,call_center,0.4166666666666667,0.5941666666666667,9.99,0.41625,19.98,0,0,0,0
33,estandar,transferencia_bancaria,mensual,15,1,2,5,redes_sociales,0.3125,0.5225,9.99,0.624375,19.98,0,0,0,1
1,basico,tarjeta_debito,anual,23,2,2,5,redes_sociales,0.20833333333333334,0.4891666666666667,4.99,0.20791666666666667,9.98,0,1,0,0
58,basico,tarjeta_credito,anual,15,2,2,0,referido,0.0,0.5249999999999999,4.99,0.311875,9.98,0,0,0,1
40,premium,tarjeta_credito,anual,15,0,3,9,web,0.5625,0.6,14.99,0.936875,44.97,0,0,0,0
120,estandar,efectivo,mensual,20,3,3,1,web,0.047619047619047616,0.6866666666666666,9.99,0.4757142857142857,29.97,0,0,0,0
55,estandar,tarjeta_credito,mensual,2,1,2,10,redes_sociales,3.3333333333333335,0.4041666666666667,9.99,3.33,19.98,1,0,0,1
42,basico,efectivo,mensual,30,3,2,8,redes_sociales,0.25806451612903225,0.625,4.99,0.16096774193548388,9.98,0,0,0,0
59,basico,tarjeta_credito,anual,17,2,2,5,web,0.2777777777777778,0.5541666666666667,4.99,0.27722222222222226,9.98,0,0,0,0
12,estandar,tarjeta_debito,anual,23,2,3,5,web,0.20833333333333334,0.5166666666666666,9.99,0.41625,29.97,0,0,0,0
58,basico,tarjeta_debito,mensual,0,2,3,9,web,9.0,0.32499999999999996,4.99,4.99,14.97,1,0,0,1
3,estandar,tarjeta_credito,mensual,15,3,3,9,referido,0.5625,0.3275,9.99,0.624375,29.97,0,1,0,1
1,premium,tarjeta_debito,mensual,10,3,2,0,call_center,0.0,0.25583333333333336,14.99,1.3627272727272728,29.98,0,1,1,0
6,estandar,tarjeta_debito,anual,8,2,3,6,web,0.6666666666666666,0.30166666666666664,9.99,1.11,29.97,1,0,0,0
12,premium,tarjeta_credito,mensual,19,1,2,5,web,0.25,0.5233333333333333,14.99,0.7495,29.98,0,0,1,1
34,estandar,tarjeta_debito,mensual,15,3,3,0,web,0.0,0.405,9.99,0.624375,29.97,0,0,0,0
50,estandar,tarjeta_debito,mensual,6,3,1,2,referido,0.2857142857142857,0.325,9.99,1.4271428571428573,9.99,0,0,0,0
36,estandar,tarjeta_debito,mensual,26,2,1,5,referido,0.18518518518518517,0.6166666666666667,9.99,0.37,9.99,0,0,0,0
14,premium,efectivo,anual,3,0,2,0,call_center,0.0,0.375,14.99,3.7475,29.98,0,0,0,0
57,estandar,transferencia_bancaria,mensual,15,1,3,0,referido,0.0,0.5825,9.99,0.624375,29.97,0,0,0,0
50,premium,transferencia_bancaria,mensual,0,0,0,3,redes_sociales,3.0,0.425,14.99,14.99,0.0,0,0,1,0
11,basico,tarjeta_credito,mensual,8,1,3,8,web,0.8888888888888888,0.37416666666666665,4.99,0.5544444444444445,14.97,1,0,0,1
9,basico,transferencia_bancaria,mensual,15,1,3,0,referido,0.0,0.4625,4.99,0.311875,14.97,0,0,0,0
14,estandar,tarjeta_credito,anual,13,1,1,4,call_center,0.2857142857142857,0.44833333333333336,9.99,0.7135714285714286,9.99,0,0,0,0
36,estandar,efectivo,mensual,18,1,0,5,web,0.2631578947368421,0.57,9.99,0.5257894736842106,0.0,0,0,0,0
25,estandar,efectivo,mensual,11,3,2,5,web,0.4166666666666667,0.32916666666666666,9.99,0.8325,19.98,0,0,0,1
44,basico,tarjeta_debito,mensual,0,0,3,8,referido,8.0,0.41,4.99,4.99,14.97,1,0,0,0
19,estandar,tarjeta_debito,anual,25,3,2,2,redes_sociales,0.07692307692307693,0.5008333333333334,9.99,0.38423076923076926,19.98,0,0,0,0
59,estandar,efectivo,anual,13,2,1,2,web,0.14285714285714285,0.5008333333333332,9.99,0.7135714285714286,9.99,0,0,0,0
18,estandar,tarjeta_debito,anual,24,2,2,5,redes_sociales,0.2,0.545,9.99,0.3996,19.98,0,0,0,0
29,estandar,efectivo,anual,10,2,2,7,call_center,0.6363636363636364,0.3858333333333333,9.99,0.9081818181818182,19.98,0,0,0,0
2,estandar,tarjeta_debito,mensual,2,0,2,3,redes_sociales,1.0,0.33166666666666667,9.99,3.33,19.98,0,1,0,0
2,basico,efectivo,mensual,9,2,2,10,redes_sociales,1.0,0.305,4.99,0.499,9.98,1,1,0,1
55,estandar,transferencia_bancaria,mensual,25,3,2,1,redes_sociales,0.038461538461538464,0.5908333333333333,9.99,0.38423076923076926,19.98,0,0,0,0
10,estandar,transferencia_bancaria,anual,23,0,3,7,referido,0.2916666666666667,0.6316666666666667,9.99,0.41625,29.97,0,0,0,0
40,premium,efectivo,anual,21,2,0,4,referido,0.18181818181818182,0.5599999999999999,14.99,0.6813636363636364,0.0,0,0,0,0
59,premium,tarjeta_debito,mensual,5,0,1,9,redes_sociales,1.5,0.5141666666666667,14.99,2.4983333333333335,14.99,1,0,1,0
14,estandar,tarjeta_credito,mensual,2,3,3,4,referido,1.3333333333333333,0.18166666666666664,9.99,3.33,29.97,0,0,0,1
9,estandar,tarjeta_credito,mensual,7,3,2,1,referido,0.125,0.23583333333333334,9.99,1.24875,19.98,0,0,0,0
52,estandar,transferencia_bancaria,mensual,10,2,2,7,call_center,0.6363636363636364,0.4433333333333333,9.99,0.9081818181818182,19.98,0,0,0,0
9,estandar,tarjeta_debito,mensual,27,3,2,7,call_center,0.25,0.5025000000000001,9.99,0.3567857142857143,19.98,0,0,0,1
4,estandar,tarjeta_credito,mensual,8,0,0,10,web,1.1111111111111112,0.41666666666666663,9.99,1.11,0.0,1,0,0,0
39,basico,tarjeta_credito,mensual,0,3,2,8,redes_sociales,8.0,0.2175,4.99,4.99,9.98,1,0,0,1
39,basico,tarjeta_debito,mensual,11,1,3,2,referido,0.16666666666666666,0.48416666666666663,4.99,0.41583333333333333,14.97,0,0,0,1
59,estandar,tarjeta_debito,mensual,7,2,3,3,redes_sociales,0.375,0.42083333333333334,9.99,1.24875,29.97,0,0,0,1
14,estandar,transferencia_bancaria,mensual,7,3,1,4,call_center,0.5,0.24833333333333332,9.99,1.24875,9.99,0,0,0,0
57,basico,tarjeta_credito,mensual,23,2,2,5,call_center,0.20833333333333334,0.6291666666666667,4.99,0.20791666666666667,9.98,0,0,0,0
13,premium,efectivo,anual,20,2,3,2,redes_sociales,0.09523809523809523,0.4791666666666667,14.99,0.7138095238095238,44.97,0,0,0,0
37,premium,tarjeta_credito,mensual,7,1,2,3,referido,0.375,0.42583333333333334,14.99,1.87375,29.98,0,0,1,0
35,basico,transferencia_bancaria,anual,23,2,2,3,referido,0.125,0.5741666666666667,4.99,0.20791666666666667,9.98,0,0,0,0
13,estandar,tarjeta_credito,anual,4,2,3,4,call_center,0.8,0.26583333333333337,9.99,1.998,29.97,0,0,0,1
8,basico,transferencia_bancaria,mensual,4,1,2,2,call_center,0.4,0.31333333333333335,4.99,0.998,9.98,0,0,0,1
56,basico,transferencia_bancaria,anual,24,2,2,3,call_center,0.12,0.6400000000000001,4.99,0.1996,9.98,0,0,0,1
37,basico,tarjeta_debito,mensual,16,1,0,6,call_center,0.35294117647058826,0.5458333333333334,4.99,0.29352941176470587,0.0,0,0,0,0
22,estandar,transferencia_bancaria,mensual,19,1,0,0,call_center,0.0,0.5483333333333333,9.99,0.4995,0.0,0,0,0,0
50,estandar,transferencia_bancaria,mensual,20,1,0,8,call_center,0.38095238095238093,0.6316666666666666,9.99,0.4757142857142857,0.0,0,0,0,0
37,premium,efectivo,anual,27,0,1,9,call_center,0.32142857142857145,0.7525,14.99,0.5353571428571429,14.99,0,0,0,0
55,basico,efectivo,mensual,28,2,2,2,redes_sociales,0.06896551724137931,0.6908333333333334,4.99,0.17206896551724138,9.98,0,0,0,1
32,premium,tarjeta_debito,mensual,27,3,3,10,referido,0.35714285714285715,0.56,14.99,0.5353571428571429,44.97,0,0,1,1
3,basico,tarjeta_credito,mensual,4,2,3,0,referido,0.0,0.24083333333333334,4.99,0.998,14.97,0,1,0,1
27,basico,tarjeta_debito,mensual,15,2,1,10,call_center,0.625,0.4475,4.99,0.311875,4.99,0,0,0,1
13,estandar,efectivo,mensual,2,2,0,0,web,0.0,0.23916666666666667,9.99,3.33,0.0,0,0,0,0
36,basico,tarjeta_debito,mensual,12,0,2,8,referido,0.6153846153846154,0.55,4.99,0.38384615384615384,9.98,0,0,0,0
47,estandar,efectivo,anual,30,3,3,3,web,0.0967741935483871,0.6375000000000001,9.99,0.32225806451612904,29.97,0,0,0,0
3,basico,tarjeta_credito,mensual,0,2,2,6,call_center,6.0,0.1875,4.99,4.99,9.98,1,1,0,0
29,basico,tarjeta_debito,mensual,7,1,2,6,web,0.75,0.4058333333333333,4.99,0.62375,9.98,1,0,0,1
21,basico,tarjeta_credito,mensual,15,1,0,5,call_center,0.3125,0.4925,4.99,0.311875,0.0,0,0,0,0
23,estandar,transferencia_bancaria,mensual,2,0,3,4,call_center,1.3333333333333333,0.38416666666666666,9.99,3.33,29.97,0,0,0,1
57,premium,tarjeta_credito,mensual,9,2,3,2,referido,0.2,0.44249999999999995,14.99,1.499,44.97,0,0,1,0
3,basico,transferencia_bancaria,mensual,4,1,3,3,referido,0.6,0.30083333333333334,4.99,0.998,14.97,0,1,0,1
24,premium,tarjeta_credito,anual,7,0,2,10,referido,1.25,0.4533333333333333,14.99,1.87375,29.98,1,0,0,1
9,estandar,tarjeta_debito,mensual,25,1,3,6,call_center,0.23076923076923078,0.5958333333333334,9.99,0.38423076923076926,29.97,0,0,0,0
38,estandar,transferencia_bancaria,anual,15,2,2,5,referido,0.3125,0.475,9.99,0.624375,19.98,0,0,0,0
23,basico,transferencia_bancaria,mensual,1,0,0,4,call_center,2.0,0.37083333333333335,4.99,2.495,0.0,0,0,0,0
34,basico,tarjeta_credito,mensual,24,1,2,7,web,0.28,0.645,4.99,0.1996,9.98,0,0,0,1
22,basico,tarjeta_credito,mensual,26,0,0,4,call_center,0.14814814814814814,0.7016666666666667,4.99,0.18481481481481482,0.0,0,0,0,0
16,basico,tarjeta_debito,anual,7,1,2,8,call_center,1.0,0.3733333333333333,4.99,0.62375,9.98,1,0,0,0
21,basico,tarjeta_credito,mensual,4,1,2,5,call_center,1.0,0.3458333333333333,4.99,0.998,9.98,0,0,0,1
21,basico,tarjeta_debito,mensual,1,3,1,6,call_center,3.0,0.18583333333333332,4.99,2.495,4.99,1,0,0,0
59,premium,transferencia_bancaria,mensual,7,1,0,0,call_center,0.0,0.48083333333333333,14.99,1.87375,0.0,0,0,1,0
59,estandar,tarjeta_debito,mensual,30,1,2,10,referido,0.3225806451612903,0.7875,9.99,0.32225806451612904,19.98,0,0,0,1
42,estandar,tarjeta_credito,anual,15,1,2,4,call_center,0.25,0.5449999999999999,9.99,0.624375,19.98,0,0,0,0
47,estandar,efectivo,mensual,23,1,2,10,redes_sociales,0.4166666666666667,0.6641666666666667,9.99,0.41625,19.98,0,0,0,0
7,estandar,transferencia_bancaria,mensual,20,3,1,5,call_center,0.23809523809523808,0.4041666666666667,9.99,0.4757142857142857,9.99,0,0,0,1
48,basico,transferencia_bancaria,mensual,7,2,2,2,redes_sociales,0.25,0.3933333333333333,4.99,0.62375,9.98,0,0,0,0
49,basico,transferencia_bancaria,mensual,5,1,2,9,redes_sociales,1.5,0.42916666666666664,4.99,0.8316666666666667,9.98,1,0,0,1
5,basico,tarjeta_credito,mensual,6,1,0,2,call_center,0.2857142857142857,0.3325,4.99,0.7128571428571429,0.0,0,0,0,1
36,estandar,transferencia_bancaria,mensual,30,3,1,34,call_center,1.096774193548387,0.61,9.99,0.32225806451612904,9.99,0,0,0,1
51,estandar,efectivo,mensual,14,3,2,4,call_center,0.26666666666666666,0.4341666666666667,9.99,0.666,19.98,0,0,0,0
3,estandar,tarjeta_credito,mensual,0,1,2,9,call_center,9.0,0.2475,9.99,9.99,19.98,1,1,0,1
32,estandar,tarjeta_credito,mensual,16,3,1,7,redes_sociales,0.4117647058823529,0.41333333333333333,9.99,0.5876470588235294,9.99,0,0,0,1
51,estandar,tarjeta_credito,mensual,16,1,1,5,referido,0.29411764705882354,0.5808333333333333,9.99,0.5876470588235294,9.99,0,0,0,0
14,basico,efectivo,mensual,15,3,2,6,web,0.375,0.355,4.99,0.311875,9.98,0,0,0,1
9,basico,efectivo,anual,15,1,0,4,call_center,0.25,0.4625,4.99,0.311875,0.0,0,0,0,0
13,estandar,tarjeta_debito,mensual,21,3,2,5,web,0.22727272727272727,0.4325,9.99,0.4540909090909091,19.98,0,0,0,0
27,estandar,tarjeta_debito,mensual,18,1,2,10,web,0.5263157894736842,0.5475,9.99,0.5257894736842106,19.98,0,0,0,0
7,basico,transferencia_bancaria,anual,8,2,1,5,redes_sociales,0.5555555555555556,0.3041666666666667,4.99,0.5544444444444445,4.99,0,0,0,0
59,estandar,efectivo,anual,15,1,2,10,referido,0.625,0.5875,9.99,0.624375,19.98,0,0,0,0
36,basico,tarjeta_debito,anual,20,3,2,1,web,0.047619047619047616,0.4766666666666667,4.99,0.23761904761904762,9.98,0,0,0,0
40,estandar,efectivo,mensual,19,2,3,1,redes_sociales,0.05,0.5333333333333333,9.99,0.4995,29.97,0,0,0,0
46,premium,tarjeta_debito,mensual,4,3,1,5,call_center,1.0,0.28833333333333333,14.99,2.998,14.99,0,0,1,0
55,estandar,tarjeta_debito,mensual,18,0,2,4,redes_sociales,0.21052631578947367,0.6775,9.99,0.5257894736842106,19.98,0,0,0,0
18,estandar,efectivo,mensual,10,0,2,5,web,0.45454545454545453,0.47833333333333333,9.99,0.9081818181818182,19.98,0,0,0,1
120,estandar,transferencia_bancaria,anual,15,1,3,2,web,0.125,0.74,9.99,0.624375,29.97,0,0,0,0
58,estandar,tarjeta_credito,mensual,23,2,3,5,redes_sociales,0.20833333333333334,0.6316666666666666,9.99,0.41625,29.97,0,0,0,0
12,premium,efectivo,mensual,20,1,2,7,redes_sociales,0.3333333333333333,0.5366666666666666,14.99,0.7138095238095238,29.98,0,0,1,0
8,premium,transferencia_bancaria,mensual,6,1,2,5,call_center,0.7142857142857143,0.34,14.99,2.1414285714285715,29.98,0,0,1,1
4,premium,tarjeta_debito,mensual,27,0,2,10,web,0.35714285714285715,0.67,14.99,0.5353571428571429,29.98,0,1,1,1
7,estandar,efectivo,mensual,11,1,1,5,call_center,0.4166666666666667,0.4041666666666667,9.99,0.8325,9.99,0,0,0,1
10,estandar,tarjeta_credito,anual,10,3,2,4,referido,0.36363636363636365,0.2783333333333333,9.99,0.9081818181818182,19.98,0,0,0,1
16,basico,transferencia_bancaria,mensual,18,2,2,5,referido,0.2631578947368421,0.45999999999999996,4.99,0.26263157894736844,9.98,0,0,0,1
50,estandar,efectivo,mensual,5,2,0,5,redes_sociales,0.8333333333333334,0.37166666666666665,9.99,1.665,0.0,0,0,0,0
31,estandar,tarjeta_debito,mensual,15,2,2,7,redes_sociales,0.4375,0.4575,9.99,0.624375,19.98,0,0,0,0
23,estandar,efectivo,anual,24,2,2,4,call_center,0.16,0.5575000000000001,9.99,0.3996,19.98,0,0,0,0
36,basico,transferencia_bancaria,mensual,8,0,2,5,web,0.5555555555555556,0.49666666666666665,4.99,0.5544444444444445,9.98,0,0,0,0
0,estandar,tarjeta_debito,mensual,8,3,2,1,referido,0.1111111111111111,0.22666666666666668,9.99,1.11,19.98,0,1,0,0
49,estandar,transferencia_bancaria,mensual,26,3,2,0,referido,0.0,0.5891666666666666,9.99,0.37,19.98,0,0,0,0
15,estandar,tarjeta_credito,mensual,15,1,1,2,redes_sociales,0.125,0.47750000000000004,9.99,0.624375,9.99,0,0,0,0
59,premium,tarjeta_debito,anual,19,0,1,3,web,0.15,0.7008333333333334,14.99,0.7495,14.99,0,0,0,0
5,estandar,transferencia_bancaria,mensual,18,0,0,1,call_center,0.05263157894736842,0.5525,9.99,0.5257894736842106,0.0,0,0,0,0
17,estandar,tarjeta_credito,mensual,25,2,1,6,call_center,0.23076923076923078,0.5558333333333334,9.99,0.38423076923076926,9.99,0,0,0,0
41,estandar,tarjeta_debito,mensual,8,1,1,1,referido,0.1111111111111111,0.44916666666666666,9.99,1.11,9.99,0,0,0,1
41,basico,tarjeta_debito,mensual,13,3,0,0,web,0.0,0.3958333333333333,4.99,0.35642857142857143,0.0,0,0,0,0
36,basico,tarjeta_debito,mensual,30,1,3,6,web,0.1935483870967742,0.73,4.99,0.16096774193548388,14.97,0,0,0,1
33,estandar,efectivo,mensual,6,1,1,4,referido,0.5714285714285714,0.4025,9.99,1.4271428571428573,9.99,0,0,0,1
13,basico,tarjeta_credito,mensual,12,3,1,10,referido,0.7692307692307693,0.3125,4.99,0.38384615384615384,4.99,0,0,0,0
55,basico,tarjeta_debito,anual,22,1,1,10,web,0.43478260869565216,0.6708333333333333,4.99,0.21695652173913044,4.99,0,0,0,0
6,basico,tarjeta_credito,mensual,14,0,0,1,redes_sociales,0.06666666666666667,0.5016666666666667,4.99,0.33266666666666667,0.0,0,0,0,0
26,basico,tarjeta_debito,mensual,20,3,3,5,call_center,0.23809523809523808,0.45166666666666666,4.99,0.23761904761904762,14.97,0,0,0,0
28,basico,tarjeta_credito,anual,9,2,1,3,call_center,0.3,0.37,4.99,0.499,4.99,0,0,0,0
23,basico,tarjeta_debito,mensual,7,1,2,4,redes_sociales,0.5,0.39083333333333337,4.99,0.62375,9.98,0,0,0,1
24,basico,efectivo,mensual,14,1,0,9,call_center,0.6,0.4866666666666667,4.99,0.33266666666666667,0.0,0,0,0,0
37,estandar,transferencia_bancaria,mensual,15,0,1,0,call_center,0.0,0.5925,9.99,0.624375,9.99,0,0,0,0
30,basico,tarjeta_credito,anual,0,2,2,8,call_center,8.0,0.255,4.99,4.99,9.98,1,0,0,1
45,estandar,tarjeta_credito,anual,14,3,2,3,call_center,0.2,0.4191666666666667,9.99,0.666,19.98,0,0,0,0
46,basico,tarjeta_credito,anual,28,3,0,9,call_center,0.3103448275862069,0.6083333333333334,4.99,0.17206896551724138,0.0,0,0,0,0
42,basico,efectivo,anual,17,3,2,3,call_center,0.16666666666666666,0.45166666666666666,4.99,0.27722222222222226,9.98,0,0,0,1
36,estandar,transferencia_bancaria,mensual,7,0,1,6,call_center,0.75,0.48333333333333334,9.99,1.24875,9.99,1,0,0,0
39,estandar,efectivo,mensual,16,0,2,7,redes_sociales,0.4117647058823529,0.6108333333333333,9.99,0.5876470588235294,19.98,0,0,0,0
39,premium,tarjeta_debito,mensual,10,2,2,3,referido,0.2727272727272727,0.41083333333333333,14.99,1.3627272727272728,29.98,0,0,1,0
49,estandar,tarjeta_debito,anual,26,1,3,10,call_center,0.37037037037037035,0.7091666666666667,9.99,0.37,29.97,0,0,0,0
28,basico,transferencia_bancaria,mensual,17,3,2,10,web,0.5555555555555556,0.4166666666666667,4.99,0.27722222222222226,9.98,0,0,0,0
57,basico,tarjeta_credito,mensual,12,1,3,2,web,0.15384615384615385,0.5425,4.99,0.38384615384615384,14.97,0,0,0,0
40,estandar,tarjeta_debito,anual,26,2,1,9,referido,0.3333333333333333,0.6266666666666667,9.99,0.37,9.99,0,0,0,0
