antiguedad,plan,metodo_pago,facturas_impagas,frecuencia_uso,tickets_soporte,tipo_contrato,cambios_plan,canal_adquisicion,churn
19,premium,transferencia_bancaria,1,5,10,mensual,0,call_center,1
0,premium,efectivo,1,23,5,mensual,2,redes_sociales,1
46,premium,tarjeta_credito,1,22,8,mensual,0,redes_sociales,0
22,estandar,tarjeta_credito,3,13,5,anual,1,redes_sociales,0
35,estandar,efectivo,3,18,1,mensual,3,web,1
4,estandar,tarjeta_debito,2,15,3,anual,2,referido,0
36,estandar,tarjeta_debito,2,10,10,anual,3,web,0
11,estandar,tarjeta_credito,3,16,4,mensual,2,web,0
36,basico,tarjeta_debito,2,1,4,mensual,0,call_center,1
52,estandar,transferencia_bancaria,2,2,5,mensual,3,redes_sociales,0
27,basico,tarjeta_debito,1,25,7,mensual,0,referido,0
23,estandar,tarjeta_debito,0,24,7,mensual,2,call_center,0
46,estandar,tarjeta_debito,3,15,10,anual,3,referido,0
37,estandar,tarjeta_debito,2,7,7,mensual,2,call_center,1
25,estandar,efectivo,1,5,7,anual,3,web,0
14,estandar,tarjeta_debito,3,0,0,anual,0,call_center,0
55,basico,tarjeta_debito,2,19,2,anual,2,web,0
39,premium,tarjeta_debito,2,8,4,mensual,1,referido,0
23,estandar,transferencia_bancaria,1,0,5,mensual,2,web,1
36,estandar,tarjeta_credito,0,24,5,anual,3,redes_sociales,0
3,estandar,efectivo,2,22,9,mensual,3,redes_sociales,1
3,basico,tarjeta_debito,3,0,9,mensual,1,web,1
35,basico,tarjeta_credito,3,7,2,mensual,2,referido,0
44,basico,tarjeta_credito,0,29,2,mensual,2,referido,0
45,premium,tarjeta_credito,2,16,9,mensual,3,web,0
2,estandar,tarjeta_debito,1,28,3,mensual,2,redes_sociales,1
8,estandar,tarjeta_debito,1,14,3,mensual,0,call_center,0
15,premium,transferencia_bancaria,3,15,9,mensual,3,referido,0
49,basico,tarjeta_debito,2,0,5,mensual,1,call_center,1
43,estandar,tarjeta_credito,2,23,10,mensual,2,call_center,0
33,estandar,transferencia_bancaria,2,15,5,mensual,1,redes_sociales,1
1,basico,tarjeta_debito,2,23,5,anual,2,redes_sociales,0
58,basico,tarjeta_credito,2,15,0,anual,2,referido,1
40,premium,tarjeta_credito,3,15,9,anual,0,web,0
120,estandar,efectivo,3,20,1,mensual,3,web,0
55,estandar,tarjeta_credito,2,2,10,mensual,1,redes_sociales,1
42,basico,efectivo,2,30,8,mensual,3,redes_sociales,0
59,basico,tarjeta_credito,2,17,5,anual,2,web,0
12,estandar,tarjeta_debito,3,23,5,anual,2,web,0
58,basico,tarjeta_debito,3,0,9,mensual,2,web,1
3,estandar,tarjeta_credito,3,15,9,mensual,3,referido,1
1,premium,tarjeta_debito,2,10,0,mensual,3,call_center,0
6,estandar,tarjeta_debito,3,8,6,anual,2,web,0
12,premium,tarjeta_credito,2,19,5,mensual,1,web,1
34,estandar,tarjeta_debito,3,15,0,mensual,3,web,0
50,estandar,tarjeta_debito,1,6,2,mensual,3,referido,0
36,estandar,tarjeta_debito,1,26,5,mensual,2,referido,0
14,premium,efectivo,2,3,0,anual,0,call_center,0
57,estandar,transferencia_bancaria,3,15,0,mensual,1,referido,0
50,premium,transferencia_bancaria,0,0,3,mensual,0,redes_sociales,0
11,basico,tarjeta_credito,3,8,8,mensual,1,web,1
9,basico,transferencia_bancaria,3,15,0,mensual,1,referido,0
14,estandar,tarjeta_credito,1,13,4,anual,1,call_center,0
36,estandar,efectivo,0,18,5,mensual,1,web,0
25,estandar,efectivo,2,11,5,mensual,3,web,1
44,basico,tarjeta_debito,3,0,8,mensual,0,referido,0
19,estandar,tarjeta_debito,2,25,2,anual,3,redes_sociales,0
59,estandar,efectivo,1,13,2,anual,2,web,0
18,estandar,tarjeta_debito,2,24,5,anual,2,redes_sociales,0
29,estandar,efectivo,2,10,7,anual,2,call_center,0
2,estandar,tarjeta_debito,2,2,3,mensual,0,redes_sociales,0
2,basico,efectivo,2,9,10,mensual,2,redes_sociales,1
55,estandar,transferencia_bancaria,2,25,1,mensual,3,redes_sociales,0
10,estandar,transferencia_bancaria,3,23,7,anual,0,referido,0
40,premium,efectivo,0,21,4,anual,2,referido,0
59,premium,tarjeta_debito,1,5,9,mensual,0,redes_sociales,0
14,estandar,tarjeta_credito,3,2,4,mensual,3,referido,1
9,estandar,tarjeta_credito,2,7,1,mensual,3,referido,0
52,estandar,transferencia_bancaria,2,10,7,mensual,2,call_center,0
9,estandar,tarjeta_debito,2,27,7,mensual,3,call_center,1
4,estandar,tarjeta_credito,0,8,10,mensual,0,web,0
39,basico,tarjeta_credito,2,0,8,mensual,3,redes_sociales,1
39,basico,tarjeta_debito,3,11,2,mensual,1,referido,1
59,estandar,tarjeta_debito,3,7,3,mensual,2,redes_sociales,1
14,estandar,transferencia_bancaria,1,7,4,mensual,3,call_center,0
57,basico,tarjeta_credito,2,23,5,mensual,2,call_center,0
13,premium,efectivo,3,20,2,anual,2,redes_sociales,0
37,premium,tarjeta_credito,2,7,3,mensual,1,referido,0
35,basico,transferencia_bancaria,2,23,3,anual,2,referido,0
13,estandar,tarjeta_credito,3,4,4,anual,2,call_center,1
8,basico,transferencia_bancaria,2,4,2,mensual,1,call_center,1
56,basico,transferencia_bancaria,2,24,3,anual,2,call_center,1
37,basico,tarjeta_debito,0,16,6,mensual,1,call_center,0
22,estandar,transferencia_bancaria,0,19,0,mensual,1,call_center,0
50,estandar,transferencia_bancaria,0,20,8,mensual,1,call_center,0
37,premium,efectivo,1,27,9,anual,0,call_center,0
55,basico,efectivo,2,28,2,mensual,2,redes_sociales,1
32,premium,tarjeta_debito,3,27,10,mensual,3,referido,1
3,basico,tarjeta_credito,3,4,0,mensual,2,referido,1
27,basico,tarjeta_debito,1,15,10,mensual,2,call_center,1
13,estandar,efectivo,0,2,0,mensual,2,web,0
36,basico,tarjeta_debito,2,12,8,mensual,0,referido,0
47,estandar,efectivo,3,30,3,anual,3,web,0
3,basico,tarjeta_credito,2,0,6,mensual,2,call_center,0
29,basico,tarjeta_debito,2,7,6,mensual,1,web,1
21,basico,tarjeta_credito,0,15,5,mensual,1,call_center,0
23,estandar,transferencia_bancaria,3,2,4,mensual,0,call_center,1
57,premium,tarjeta_credito,3,9,2,mensual,2,referido,0
3,basico,transferencia_bancaria,3,4,3,mensual,1,referido,1
24,premium,tarjeta_credito,2,7,10,anual,0,referido,1
9,estandar,tarjeta_debito,3,25,6,mensual,1,call_center,0
38,estandar,transferencia_bancaria,2,15,5,anual,2,referido,0
23,basico,transferencia_bancaria,0,1,4,mensual,0,call_center,0
34,basico,tarjeta_credito,2,24,7,mensual,1,web,1
22,basico,tarjeta_credito,0,26,4,mensual,0,call_center,0
16,basico,tarjeta_debito,2,7,8,anual,1,call_center,0
21,basico,tarjeta_credito,2,4,5,mensual,1,call_center,1
21,basico,tarjeta_debito,1,1,6,mensual,3,call_center,0
59,premium,transferencia_bancaria,0,7,0,mensual,1,call_center,0
59,estandar,tarjeta_debito,2,30,10,mensual,1,referido,1
42,estandar,tarjeta_credito,2,15,4,anual,1,call_center,0
47,estandar,efectivo,2,23,10,mensual,1,redes_sociales,0
7,estandar,transferencia_bancaria,1,20,5,mensual,3,call_center,1
48,basico,transferencia_bancaria,2,7,2,mensual,2,redes_sociales,0
49,basico,transferencia_bancaria,2,5,9,mensual,1,redes_sociales,1
5,basico,tarjeta_credito,0,6,2,mensual,1,call_center,1
36,estandar,transferencia_bancaria,1,30,34,mensual,3,call_center,1
51,estandar,efectivo,2,14,4,mensual,3,call_center,0
3,estandar,tarjeta_credito,2,0,9,mensual,1,call_center,1
32,estandar,tarjeta_credito,1,16,7,mensual,3,redes_sociales,1
51,estandar,tarjeta_credito,1,16,5,mensual,1,referido,0
14,basico,efectivo,2,15,6,mensual,3,web,1
9,basico,efectivo,0,15,4,anual,1,call_center,0
13,estandar,tarjeta_debito,2,21,5,mensual,3,web,0
27,estandar,tarjeta_debito,2,18,10,mensual,1,web,0
7,basico,transferencia_bancaria,1,8,5,anual,2,redes_sociales,0
59,estandar,efectivo,2,15,10,anual,1,referido,0
36,basico,tarjeta_debito,2,20,1,anual,3,web,0
40,estandar,efectivo,3,19,1,mensual,2,redes_sociales,0
46,premium,tarjeta_debito,1,4,5,mensual,3,call_center,0
55,estandar,tarjeta_debito,2,18,4,mensual,0,redes_sociales,0
18,estandar,efectivo,2,10,5,mensual,0,web,1
120,estandar,transferencia_bancaria,3,15,2,anual,1,web,0
58,estandar,tarjeta_credito,3,23,5,mensual,2,redes_sociales,0
12,premium,efectivo,2,20,7,mensual,1,redes_sociales,0
8,premium,transferencia_bancaria,2,6,5,mensual,1,call_center,1
4,premium,tarjeta_debito,2,27,10,mensual,0,web,1
7,estandar,efectivo,1,11,5,mensual,1,call_center,1
10,estandar,tarjeta_credito,2,10,4,anual,3,referido,1
16,basico,transferencia_bancaria,2,18,5,mensual,2,referido,1
50,estandar,efectivo,0,5,5,mensual,2,redes_sociales,0
31,estandar,tarjeta_debito,2,15,7,mensual,2,redes_sociales,0
23,estandar,efectivo,2,24,4,anual,2,call_center,0
36,basico,transferencia_bancaria,2,8,5,mensual,0,web,0
0,estandar,tarjeta_debito,2,8,1,mensual,3,referido,0
49,estandar,transferencia_bancaria,2,26,0,mensual,3,referido,0
15,estandar,tarjeta_credito,1,15,2,mensual,1,redes_sociales,0
59,premium,tarjeta_debito,1,19,3,anual,0,web,0
5,estandar,transferencia_bancaria,0,18,1,mensual,0,call_center,0
17,estandar,tarjeta_credito,1,25,6,mensual,2,call_center,0
41,estandar,tarjeta_debito,1,8,1,mensual,1,referido,1
41,basico,tarjeta_debito,0,13,0,mensual,3,web,0
36,basico,tarjeta_debito,3,30,6,mensual,1,web,1
33,estandar,efectivo,1,6,4,mensual,1,referido,1
13,basico,tarjeta_credito,1,12,10,mensual,3,referido,0
55,basico,tarjeta_debito,1,22,10,anual,1,web,0
6,basico,tarjeta_credito,0,14,1,mensual,0,redes_sociales,0
26,basico,tarjeta_debito,3,20,5,mensual,3,call_center,0
28,basico,tarjeta_credito,1,9,3,anual,2,call_center,0
23,basico,tarjeta_debito,2,7,4,mensual,1,redes_sociales,1
24,basico,efectivo,0,14,9,mensual,1,call_center,0
37,estandar,transferencia_bancaria,1,15,0,mensual,0,call_center,0
30,basico,tarjeta_credito,2,0,8,anual,2,call_center,1
45,estandar,tarjeta_credito,2,14,3,anual,3,call_center,0
46,basico,tarjeta_credito,0,28,9,anual,3,call_center,0
42,basico,efectivo,2,17,3,anual,3,call_center,1
36,estandar,transferencia_bancaria,1,7,6,mensual,0,call_center,0
39,estandar,efectivo,2,16,7,mensual,0,redes_sociales,0
39,premium,tarjeta_debito,2,10,3,mensual,2,referido,0
49,estandar,tarjeta_debito,3,26,10,anual,1,call_center,0
28,basico,transferencia_bancaria,2,17,10,mensual,3,web,0
57,basico,tarjeta_credito,3,12,2,mensual,1,web,0
40,estandar,tarjeta_debito,1,26,9,anual,2,referido,0
55,basico,tarjeta_credito,3,8,3,mensual,2,redes_sociales,1
19,premium,tarjeta_debito,3,7,3,mensual,2,call_center,0
120,estandar,tarjeta_credito,3,12,4,mensual,0,call_center,1
42,premium,tarjeta_credito,0,1,5,anual,1,call_center,0
15,estandar,tarjeta_debito,2,1,1,mensual,2,call_center,1
21,estandar,efectivo,2,18,10,mensual,1,web,0
23,premium,tarjeta_credito,0,18,5,mensual,3,referido,0
16,estandar,tarjeta_debito,3,15,35,mensual,3,web,0
45,estandar,tarjeta_debito,2,9,5,anual,0,web,0
26,estandar,efectivo,1,5,0,mensual,2,referido,1
47,basico,tarjeta_credito,2,0,6,anual,1,referido,0
49,premium,tarjeta_debito,0,7,9,mensual,3,referido,0
54,estandar,tarjeta_credito,0,20,7,mensual,0,web,0
31,estandar,tarjeta_credito,3,2,9,mensual,0,web,0
31,estandar,tarjeta_credito,3,22,5,mensual,3,referido,0
8,estandar,tarjeta_debito,1,18,8,anual,1,call_center,0
49,premium,tarjeta_credito,3,1,5,anual,1,call_center,0
27,estandar,tarjeta_credito,0,25,10,anual,0,call_center,0
17,estandar,efectivo,1,4,9,mensual,3,redes_sociales,1
20,estandar,tarjeta_credito,0,22,10,mensual,3,referido,0
45,estandar,tarjeta_debito,1,10,0,mensual,3,referido,0
21,basico,tarjeta_debito,3,5,7,mensual,2,redes_sociales,1
1,premium,transferencia_bancaria,0,4,2,anual,3,call_center,0
32,basico,transferencia_bancaria,3,11,8,mensual,2,call_center,0
35,basico,efectivo,0,23,3,anual,0,call_center,0
7,basico,transferencia_bancaria,1,0,10,anual,2,redes_sociales,0
32,estandar,transferencia_bancaria,2,20,9,mensual,2,referido,1
16,basico,tarjeta_credito,1,9,2,mensual,0,referido,0
27,estandar,tarjeta_debito,0,15,9,anual,1,referido,0
21,basico,efectivo,2,9,5,mensual,1,referido,0
30,estandar,tarjeta_debito,3,0,0,anual,1,web,0
34,premium,tarjeta_debito,1,17,3,mensual,0,call_center,0
43,estandar,tarjeta_debito,1,13,6,anual,0,referido,0
15,estandar,efectivo,0,24,6,anual,1,call_center,0
3,estandar,transferencia_bancaria,2,2,9,mensual,0,call_center,1
19,premium,efectivo,0,18,7,anual,3,web,0
44,estandar,transferencia_bancaria,1,25,5,mensual,3,referido,0
54,premium,tarjeta_debito,0,14,5,mensual,3,redes_sociales,0
21,estandar,transferencia_bancaria,1,15,6,mensual,3,redes_sociales,0
15,premium,transferencia_bancaria,0,10,8,mensual,0,web,0
16,basico,efectivo,3,27,5,mensual,2,web,0
32,basico,efectivo,2,18,2,mensual,3,web,0
13,premium,efectivo,1,17,4,mensual,2,web,0
6,basico,tarjeta_debito,2,17,6,mensual,0,redes_sociales,1
22,basico,efectivo,0,9,1,mensual,1,referido,1
21,premium,tarjeta_debito,3,1,0,mensual,1,call_center,1
13,basico,tarjeta_credito,0,27,9,mensual,2,call_center,0
29,estandar,efectivo,2,7,9,mensual,1,call_center,1
27,premium,tarjeta_debito,2,15,4,anual,2,call_center,0
0,basico,tarjeta_credito,0,15,6,anual,0,web,0
9,basico,tarjeta_debito,2,12,10,anual,2,referido,1
7,estandar,tarjeta_debito,1,25,7,mensual,0,call_center,0
8,estandar,efectivo,1,5,5,anual,2,call_center,0
6,basico,transferencia_bancaria,1,15,2,mensual,2,redes_sociales,1
50,basico,efectivo,0,21,1,mensual,1,redes_sociales,0
21,estandar,tarjeta_credito,2,23,8,mensual,0,call_center,0
57,estandar,tarjeta_credito,1,25,2,mensual,1,web,0
28,estandar,tarjeta_debito,0,18,5,mensual,3,redes_sociales,0
15,estandar,tarjeta_credito,2,22,3,anual,3,referido,0
4,estandar,transferencia_bancaria,1,1,3,mensual,3,web,0
4,estandar,transferencia_bancaria,3,7,2,mensual,2,call_center,0
32,estandar,tarjeta_debito,2,0,5,anual,2,redes_sociales,0
26,estandar,tarjeta_credito,3,25,1,mensual,3,referido,0
54,basico,tarjeta_credito,3,18,4,mensual,2,redes_sociales,0
33,premium,efectivo,1,13,6,anual,0,referido,0
45,basico,tarjeta_credito,3,17,5,mensual,0,web,0
0,basico,tarjeta_debito,0,12,3,anual,3,web,0
12,basico,tarjeta_debito,2,30,7,mensual,2,redes_sociales,0
11,estandar,transferencia_bancaria,3,1,9,mensual,1,call_center,1
29,premium,efectivo,0,2,5,mensual,2,referido,0
25,estandar,tarjeta_credito,1,20,0,anual,3,call_center,0
10,estandar,transferencia_bancaria,1,23,5,mensual,0,web,0
53,premium,tarjeta_debito,1,15,9,mensual,0,call_center,0
120,basico,transferencia_bancaria,0,6,9,mensual,0,call_center,0
51,premium,tarjeta_debito,0,24,7,anual,3,redes_sociales,0
18,basico,transferencia_bancaria,3,28,9,anual,2,call_center,1
26,basico,tarjeta_credito,0,15,4,mensual,0,call_center,0
6,basico,tarjeta_credito,0,15,5,mensual,3,redes_sociales,0
30,estandar,efectivo,2,30,5,anual,3,web,0
56,estandar,tarjeta_debito,1,9,5,anual,1,redes_sociales,0
4,estandar,tarjeta_debito,2,22,3,mensual,3,referido,1
52,estandar,efectivo,2,17,8,mensual,2,web,1
24,basico,tarjeta_debito,1,1,5,mensual,1,web,1
33,basico,tarjeta_credito,1,19,6,mensual,3,web,0
15,estandar,tarjeta_credito,1,15,8,anual,3,call_center,0
38,premium,efectivo,1,7,6,anual,1,call_center,0
8,estandar,tarjeta_debito,2,11,6,mensual,2,redes_sociales,1
41,premium,efectivo,1,29,0,mensual,0,redes_sociales,0
48,estandar,tarjeta_debito,2,13,6,anual,0,call_center,0
37,premium,efectivo,0,23,5,mensual,3,referido,0
26,basico,tarjeta_debito,3,0,6,mensual,2,call_center,0
40,premium,efectivo,2,21,7,anual,1,call_center,0
22,estandar,transferencia_bancaria,0,5,6,mensual,1,referido,1
52,basico,efectivo,3,2,0,mensual,1,redes_sociales,0
9,estandar,tarjeta_debito,2,9,6,mensual,1,web,0
20,estandar,transferencia_bancaria,3,8,9,mensual,1,call_center,1
4,estandar,tarjeta_debito,1,3,2,mensual,2,redes_sociales,0
31,estandar,efectivo,3,2,9,mensual,2,redes_sociales,0
9,premium,transferencia_bancaria,3,24,5,mensual,3,redes_sociales,1
29,basico,tarjeta_credito,2,26,5,anual,2,referido,0
34,estandar,tarjeta_debito,2,25,0,mensual,1,call_center,0
32,basico,tarjeta_credito,1,7,7,mensual,1,web,0
4,estandar,transferencia_bancaria,2,20,9,mensual,0,referido,0
30,estandar,efectivo,0,15,6,mensual,0,redes_sociales,0
2,basico,tarjeta_credito,1,20,3,mensual,2,referido,0
43,estandar,tarjeta_debito,2,14,2,anual,3,referido,0
6,premium,transferencia_bancaria,1,1,2,mensual,0,call_center,0
3,premium,transferencia_bancaria,3,12,0,anual,2,call_center,0
36,estandar,tarjeta_debito,2,19,2,mensual,1,referido,0
12,basico,tarjeta_debito,0,14,6,mensual,2,call_center,0
26,premium,tarjeta_debito,1,26,1,mensual,3,call_center,0
22,premium,efectivo,2,16,7,mensual,3,web,1
46,basico,transferencia_bancaria,0,27,1,anual,2,redes_sociales,0
51,estandar,tarjeta_debito,2,1,6,anual,1,redes_sociales,1
1,estandar,transferencia_bancaria,2,9,2,mensual,2,redes_sociales,1
53,basico,tarjeta_debito,2,2,8,mensual,3,referido,1
5,basico,transferencia_bancaria,3,21,5,mensual,2,call_center,1
27,basico,efectivo,1,10,9,anual,1,redes_sociales,0
32,basico,tarjeta_credito,1,15,9,mensual,1,redes_sociales,0
33,premium,tarjeta_credito,3,4,9,mensual,2,call_center,1
53,estandar,tarjeta_debito,1,18,5,mensual,0,referido,0
20,estandar,tarjeta_credito,1,23,10,mensual,0,web,0
13,estandar,tarjeta_debito,2,0,6,anual,3,web,0
38,basico,tarjeta_credito,3,14,10,mensual,1,call_center,1
20,estandar,tarjeta_debito,0,15,5,mensual,1,call_center,0
39,estandar,tarjeta_credito,3,1,6,anual,2,redes_sociales,0
38,premium,efectivo,2,11,2,anual,0,redes_sociales,0
47,premium,efectivo,0,24,5,mensual,3,web,0
34,premium,transferencia_bancaria,3,8,9,mensual,1,call_center,1
60,premium,tarjeta_debito,0,30,10,mensual,1,call_center,0
29,premium,tarjeta_credito,0,21,1,mensual,2,referido,1
31,basico,tarjeta_credito,3,25,9,mensual,3,call_center,1
7,basico,transferencia_bancaria,2,15,0,anual,1,web,0
3,premium,transferencia_bancaria,0,15,9,mensual,3,web,0
22,premium,transferencia_bancaria,1,0,0,mensual,2,call_center,0
30,estandar,tarjeta_debito,3,4,26,mensual,3,referido,1
43,estandar,efectivo,2,14,9,anual,2,referido,0
15,estandar,transferencia_bancaria,1,17,8,mensual,1,call_center,1
60,basico,tarjeta_credito,0,18,7,anual,2,redes_sociales,0
4,basico,transferencia_bancaria,1,10,3,mensual,1,referido,1
30,premium,efectivo,2,13,9,anual,1,call_center,1
7,estandar,efectivo,2,17,5,mensual,1,redes_sociales,0
48,estandar,transferencia_bancaria,0,9,9,mensual,0,referido,0
17,basico,transferencia_bancaria,3,28,5,mensual,1,redes_sociales,1
12,estandar,efectivo,0,13,4,mensual,0,call_center,0
16,basico,tarjeta_credito,1,0,0,mensual,0,call_center,0
9,basico,tarjeta_credito,2,15,3,mensual,0,redes_sociales,0
48,premium,efectivo,2,15,5,anual,2,referido,0
12,estandar,tarjeta_debito,2,14,3,mensual,1,web,0
44,estandar,tarjeta_credito,3,12,3,mensual,3,call_center,0
22,premium,efectivo,2,16,1,anual,1,referido,0
39,estandar,efectivo,2,19,9,mensual,0,web,0
1,estandar,efectivo,0,6,4,anual,0,referido,0
31,basico,tarjeta_debito,0,9,1,mensual,1,redes_sociales,0
7,premium,tarjeta_debito,2,9,4,mensual,1,redes_sociales,0
30,premium,efectivo,0,11,4,mensual,1,call_center,0
38,premium,efectivo,3,30,7,mensual,0,call_center,0
53,estandar,transferencia_bancaria,0,19,1,mensual,1,referido,0
3,estandar,tarjeta_credito,0,15,0,mensual,2,web,0
43,estandar,tarjeta_credito,1,20,5,anual,1,redes_sociales,0
56,estandar,tarjeta_debito,0,5,6,mensual,1,web,0
0,premium,tarjeta_debito,2,7,7,anual,1,call_center,1
45,estandar,efectivo,0,23,9,anual,0,call_center,0
35,estandar,transferencia_bancaria,2,15,0,anual,3,call_center,1
4,estandar,tarjeta_credito,1,20,6,mensual,1,redes_sociales,1
6,estandar,tarjeta_debito,1,16,10,mensual,2,call_center,0
1,premium,tarjeta_credito,3,13,3,mensual,3,web,0
19,basico,tarjeta_debito,1,8,1,mensual,3,call_center,1
47,estandar,efectivo,0,24,4,mensual,1,referido,0
52,estandar,tarjeta_debito,3,25,10,mensual,3,redes_sociales,0
0,estandar,tarjeta_debito,0,15,10,mensual,3,redes_sociales,1
21,estandar,tarjeta_credito,2,27,2,mensual,0,call_center,0
51,estandar,tarjeta_credito,1,5,6,mensual,1,redes_sociales,0
21,premium,tarjeta_debito,3,12,4,anual,2,call_center,0
31,estandar,tarjeta_debito,3,12,7,mensual,2,referido,0
7,estandar,efectivo,1,3,5,mensual,1,call_center,1
4,estandar,tarjeta_debito,2,25,2,mensual,0,call_center,0
19,estandar,efectivo,2,19,9,anual,3,web,0
46,basico,tarjeta_debito,2,18,5,mensual,0,redes_sociales,0
32,premium,tarjeta_credito,1,17,5,anual,0,web,0
1,estandar,tarjeta_debito,3,20,4,mensual,2,web,0
48,premium,transferencia_bancaria,0,7,8,mensual,0,referido,0
13,estandar,tarjeta_debito,0,16,8,mensual,3,call_center,0
28,estandar,tarjeta_debito,1,7,6,anual,0,call_center,0
18,estandar,transferencia_bancaria,2,23,5,anual,0,web,0
58,premium,tarjeta_credito,2,30,10,mensual,3,call_center,1
32,estandar,transferencia_bancaria,1,15,9,mensual,0,referido,1
14,basico,tarjeta_credito,1,18,9,mensual,1,call_center,0
53,estandar,tarjeta_debito,1,5,5,mensual,0,call_center,0
4,basico,efectivo,1,9,3,mensual,1,web,0
20,basico,tarjeta_debito,3,21,6,mensual,3,redes_sociales,1
15,estandar,tarjeta_debito,2,21,1,mensual,2,referido,0
33,premium,efectivo,0,15,2,anual,0,web,0
38,estandar,transferencia_bancaria,3,9,2,mensual,1,web,1
2,estandar,tarjeta_debito,3,24,10,mensual,1,web,1
10,premium,transferencia_bancaria,0,3,10,anual,3,referido,0
31,basico,tarjeta_credito,2,11,10,anual,0,redes_sociales,0
46,estandar,efectivo,2,24,2,anual,3,redes_sociales,0
4,premium,tarjeta_credito,1,2,7,mensual,3,referido,0
60,estandar,transferencia_bancaria,1,9,3,mensual,1,call_center,1
41,estandar,tarjeta_credito,3,15,0,mensual,3,call_center,0
47,premium,tarjeta_debito,2,2,4,mensual,1,call_center,0
15,premium,tarjeta_debito,3,18,8,mensual,0,web,1
26,premium,efectivo,3,8,1,mensual,3,referido,0
43,estandar,tarjeta_debito,3,30,8,mensual,3,referido,0
5,basico,tarjeta_debito,2,8,0,anual,2,call_center,0
14,estandar,transferencia_bancaria,3,4,0,anual,2,redes_sociales,0
47,premium,tarjeta_debito,0,11,9,anual,1,web,0
36,estandar,tarjeta_debito,2,29,3,anual,0,call_center,0
30,estandar,tarjeta_credito,2,15,9,mensual,2,redes_sociales,1
35,estandar,tarjeta_credito,1,2,6,mensual,2,redes_sociales,1
55,basico,tarjeta_debito,2,24,4,anual,0,call_center,0
52,estandar,transferencia_bancaria,3,18,5,mensual,2,redes_sociales,0
36,premium,transferencia_bancaria,0,16,10,mensual,3,web,0
24,premium,efectivo,0,14,8,mensual,0,redes_sociales,0
40,premium,tarjeta_credito,2,4,1,mensual,0,call_center,0
12,estandar,tarjeta_debito,2,15,2,mensual,2,call_center,0
33,estandar,tarjeta_debito,0,13,9,mensual,1,web,0
16,estandar,transferencia_bancaria,0,15,5,mensual,2,referido,0
57,estandar,tarjeta_credito,2,29,0,mensual,3,redes_sociales,0
49,basico,transferencia_bancaria,0,6,4,anual,2,referido,0
35,basico,efectivo,0,18,9,mensual,0,call_center,0
17,estandar,tarjeta_debito,2,1,2,anual,3,referido,0
56,basico,transferencia_bancaria,3,27,1,mensual,1,call_center,0
7,estandar,tarjeta_debito,1,18,0,mensual,0,referido,0
50,premium,transferencia_bancaria,2,28,11,mensual,3,redes_sociales,0
25,premium,transferencia_bancaria,2,15,7,mensual,2,referido,0
43,premium,tarjeta_debito,3,14,2,mensual,3,web,0
10,estandar,tarjeta_credito,3,17,7,anual,1,call_center,0
60,estandar,efectivo,3,28,7,anual,0,web,0
41,estandar,tarjeta_credito,3,13,9,mensual,3,redes_sociales,0
10,premium,efectivo,3,5,7,anual,2,call_center,0
