antiguedad,plan,metodo_pago,facturas_impagas,frecuencia_uso,tickets_soporte,tipo_contrato,cambios_plan,canal_adquisicion,churn
15,premium,transferencia_bancaria,3.0,,9.0,mensual,3,referido,0
-1,basico,transferencia_bancaria,0.0,20.0,9.0,anual,15,redes_sociales,1
49,basico,tarjeta_debito,,0.0,5.0,mensual,1,call_center,1
43,estandar,tarjeta_credito,,23.0,10.0,mensual,2,call_center,0
33,estandar,transferencia_bancaria,2.0,15.0,,mensual,1,redes_sociales,1
1,basico,,2.0,23.0,5.0,anual,2,redes_sociales,0
58,basico,tarjeta_credito,2.0,,0.0,anual,2,referido,1
40,premium,tarjeta_credito,3.0,,9.0,anual,0,web,0
120,estandar,efectivo,3.0,20.0,1.0,mensual,3,web,0
55,estandar,tarjeta_credito,2.0,2.0,10.0,mensual,1,redes_sociales,1
26,basico,tarjeta_debito,3.0,100.0,5.0,mensual,3,,1
42,basico,efectivo,2.0,30.0,8.0,mensual,3,redes_sociales,0
59,basico,tarjeta_credito,2.0,17.0,,anual,2,web,0
10,basico,tarjeta_credito,1.0,13.0,31.0,anual,10,web,0
49,estandar,efectivo,-1.0,19.0,5.0,anual,3,referido,0
12,estandar,tarjeta_debito,3.0,23.0,5.0,anual,2,web,0
58,basico,,3.0,0.0,9.0,mensual,2,web,1
3,estandar,tarjeta_credito,3.0,,9.0,mensual,3,referido,1
51,premium,tarjeta_debito,,100.0,7.0,anual,1,referido,0
1,premium,tarjeta_debito,2.0,10.0,0.0,mensual,3,call_center,0
6,estandar,tarjeta_debito,3.0,8.0,6.0,anual,2,web,0
12,premium,tarjeta_credito,2.0,19.0,,mensual,1,web,1
34,estandar,,3.0,,0.0,mensual,3,web,0
50,estandar,,1.0,6.0,2.0,mensual,3,referido,0
36,estandar,tarjeta_debito,1.0,26.0,,mensual,2,referido,0
14,premium,efectivo,,3.0,0.0,anual,0,call_center,0
57,estandar,transferencia_bancaria,3.0,,0.0,mensual,1,referido,0
50,premium,transferencia_bancaria,0.0,0.0,3.0,mensual,0,redes_sociales,0
28,estandar,transferencia_bancaria,,28.0,10.0,anual,-1,redes_sociales,1
11,basico,tarjeta_credito,3.0,8.0,8.0,mensual,1,web,1
9,basico,transferencia_bancaria,3.0,,0.0,mensual,1,referido,0
14,estandar,tarjeta_credito,1.0,13.0,4.0,anual,1,call_center,0
36,estandar,efectivo,0.0,18.0,,mensual,1,web,0
25,estandar,efectivo,,11.0,,mensual,3,web,1
56,estandar,tarjeta_debito,2.0,50.0,9.0,mensual,1,call_center,0
44,basico,tarjeta_debito,3.0,0.0,8.0,mensual,0,referido,0
19,estandar,tarjeta_debito,2.0,25.0,2.0,anual,3,redes_sociales,0
59,estandar,efectivo,1.0,13.0,2.0,anual,2,web,0
18,estandar,tarjeta_debito,2.0,24.0,5.0,anual,2,redes_sociales,0
29,estandar,efectivo,2.0,10.0,7.0,anual,2,call_center,0
2,estandar,,,2.0,3.0,mensual,0,redes_sociales,0
2,basico,efectivo,2.0,9.0,10.0,mensual,2,redes_sociales,1
55,estandar,transferencia_bancaria,2.0,25.0,1.0,mensual,3,redes_sociales,0
10,estandar,transferencia_bancaria,3.0,23.0,7.0,anual,0,referido,0
40,premium,efectivo,0.0,21.0,4.0,anual,2,referido,0
59,premium,,1.0,5.0,9.0,mensual,0,redes_sociales,0
14,estandar,tarjeta_credito,3.0,2.0,4.0,mensual,3,referido,1
9,estandar,tarjeta_credito,2.0,7.0,1.0,mensual,3,referido,0
52,estandar,transferencia_bancaria,2.0,10.0,7.0,mensual,2,,0
9,estandar,,2.0,27.0,7.0,mensual,3,call_center,1
4,estandar,tarjeta_credito,0.0,8.0,10.0,mensual,0,web,0
39,basico,tarjeta_credito,2.0,0.0,8.0,mensual,3,redes_sociales,1
5,basico,transferencia_bancaria,-1.0,2.0,7.0,mensual,1,web,0
39,basico,tarjeta_debito,3.0,11.0,2.0,mensual,1,referido,1
59,estandar,tarjeta_debito,3.0,7.0,3.0,mensual,2,redes_sociales,1
14,estandar,transferencia_bancaria,1.0,7.0,4.0,mensual,3,call_center,0
18,premium,tarjeta_debito,-1.0,28.0,1.0,anual,3,,0
57,basico,tarjeta_credito,2.0,23.0,5.0,mensual,2,call_center,0
56,estandar,tarjeta_debito,1.0,-1.0,9.0,mensual,2,call_center,0
13,premium,efectivo,3.0,20.0,2.0,anual,2,redes_sociales,0
37,premium,tarjeta_credito,,7.0,3.0,mensual,1,referido,0
35,basico,transferencia_bancaria,2.0,23.0,3.0,anual,2,referido,0
13,estandar,tarjeta_credito,3.0,4.0,4.0,anual,2,,1
8,basico,transferencia_bancaria,2.0,4.0,2.0,mensual,1,call_center,1
56,basico,transferencia_bancaria,2.0,24.0,3.0,anual,2,call_center,1
37,basico,,0.0,16.0,6.0,mensual,1,call_center,0
22,estandar,transferencia_bancaria,0.0,19.0,0.0,mensual,1,call_center,0
50,estandar,transferencia_bancaria,0.0,20.0,8.0,mensual,1,,0
37,premium,efectivo,1.0,27.0,9.0,anual,0,call_center,0
55,basico,efectivo,2.0,28.0,2.0,mensual,2,redes_sociales,1
-1,basico,tarjeta_debito,0.0,-5.0,6.0,mensual,2,redes_sociales,0
32,premium,,3.0,27.0,10.0,mensual,3,referido,1
3,basico,tarjeta_credito,3.0,4.0,0.0,mensual,2,referido,1
27,basico,tarjeta_debito,1.0,,10.0,mensual,2,call_center,1
13,estandar,efectivo,0.0,2.0,0.0,mensual,2,web,0
36,basico,tarjeta_debito,,12.0,8.0,mensual,0,referido,0
47,estandar,efectivo,3.0,30.0,3.0,anual,3,web,0
3,basico,tarjeta_credito,,0.0,6.0,mensual,2,,0
29,basico,,2.0,7.0,6.0,mensual,1,web,1
21,basico,tarjeta_credito,0.0,,,mensual,1,,0
23,estandar,transferencia_bancaria,3.0,2.0,4.0,mensual,0,call_center,1
57,premium,tarjeta_credito,3.0,9.0,2.0,mensual,2,referido,0
3,basico,transferencia_bancaria,3.0,4.0,3.0,mensual,1,referido,1
24,premium,tarjeta_credito,2.0,7.0,10.0,anual,0,referido,1
9,estandar,,3.0,25.0,6.0,mensual,1,,0
38,estandar,transferencia_bancaria,2.0,,,anual,2,referido,0
23,basico,transferencia_bancaria,0.0,1.0,4.0,mensual,0,,0
34,basico,tarjeta_credito,,24.0,7.0,mensual,1,web,1
22,basico,tarjeta_credito,0.0,26.0,4.0,mensual,0,call_center,0
16,basico,tarjeta_debito,2.0,7.0,8.0,anual,1,,0
21,basico,tarjeta_credito,2.0,4.0,5.0,mensual,1,call_center,1
21,basico,tarjeta_debito,1.0,1.0,6.0,mensual,3,call_center,0
59,Premium,transferencia_bancaria,0.0,7.0,0.0,mensual,1,call_center,0
59,estandar,,2.0,30.0,10.0,mensual,1,referido,1
42,estandar,tarjeta_credito,2.0,,4.0,anual,1,call_center,0
47,estandar,efectivo,2.0,23.0,10.0,mensual,1,redes_sociales,0
-1,basico,,1.0,14.0,3.0,mensual,0,referido,0
7,standard,transferencia_bancaria,1.0,20.0,,mensual,3,call_center,1
48,basico,transferencia_bancaria,2.0,7.0,2.0,mensual,2,redes_sociales,0
49,basico,transferencia_bancaria,2.0,5.0,9.0,mensual,1,redes_sociales,1
35,basico,efectivo,1.0,,61.0,mensual,3,call_center,0
5,basico,tarjeta_credito,0.0,6.0,2.0,mensual,1,,1
36,estandar,transferencia_bancaria,1.0,30.0,34.0,mensual,3,call_center,1
51,estandar,efectivo,,14.0,4.0,mensual,3,call_center,0
3,estandar,tarjeta_credito,2.0,0.0,9.0,mensual,1,call_center,1
32,estandar,tarjeta_credito,1.0,16.0,7.0,mensual,3,redes_sociales,1
51,estandar,tarjeta_credito,1.0,16.0,,mensual,1,referido,0
14,basico,efectivo,2.0,15.0,6.0,mensual,3,web,1
9,basico,efectivo,0.0,,4.0,anual,1,call_center,0
13,estandar,tarjeta_debito,2.0,21.0,,mensual,3,web,0
27,estandar,,,18.0,10.0,mensual,1,web,0
7,BASICO,transferencia_bancaria,1.0,8.0,5.0,anual,2,redes_sociales,0
59,estandar,efectivo,2.0,,10.0,anual,1,referido,0
36,basico,tarjeta_debito,2.0,20.0,1.0,anual,3,web,0
40,estandar,efectivo,3.0,19.0,1.0,mensual,2,redes_sociales,0
46,premium,tarjeta_debito,1.0,4.0,5.0,mensual,3,,0
57,premium,transferencia_bancaria,1.0,100.0,4.0,mensual,2,referido,0
55,estandar,,2.0,18.0,4.0,mensual,0,redes_sociales,0
18,estandar,efectivo,2.0,10.0,,mensual,0,web,1
120,estandar,transferencia_bancaria,3.0,,2.0,anual,1,web,0
58,estandar,tarjeta_credito,3.0,23.0,5.0,mensual,2,redes_sociales,0
12,premium,efectivo,2.0,20.0,7.0,mensual,1,redes_sociales,0
8,premium,transferencia_bancaria,,6.0,,mensual,1,call_center,1
4,premium,tarjeta_debito,2.0,27.0,10.0,mensual,0,web,1
25,estandar,transferencia_bancaria,3.0,15.0,1.0,anual,10,web,1
7,estandar,efectivo,1.0,11.0,5.0,mensual,1,call_center,1
10,estandar,tarjeta_credito,2.0,10.0,4.0,anual,3,referido,1
16,basico,transferencia_bancaria,2.0,18.0,,mensual,2,referido,1
50,estandar,efectivo,0.0,5.0,5.0,mensual,2,redes_sociales,0
18,premium,efectivo,3.0,,10.0,anual,10,redes_sociales,0
31,estandar,,2.0,,7.0,mensual,2,redes_sociales,0
23,estandar,efectivo,2.0,24.0,4.0,anual,2,call_center,0
36,basico,transferencia_bancaria,,8.0,5.0,mensual,0,web,0
0,estandar,tarjeta_debito,,8.0,1.0,mensual,3,referido,0
49,estandar,transferencia_bancaria,,26.0,0.0,mensual,3,referido,0
15,estandar,tarjeta_credito,1.0,15.0,2.0,mensual,1,redes_sociales,0
59,premium,tarjeta_debito,1.0,19.0,3.0,anual,0,web,0
5,estandar,transferencia_bancaria,0.0,18.0,1.0,mensual,0,call_center,0
51,basico,tarjeta_credito,0.0,-1.0,7.0,mensual,3,redes_sociales,0
17,estandar,tarjeta_credito,1.0,25.0,6.0,mensual,2,,0
41,estandar,tarjeta_debito,1.0,8.0,1.0,mensual,1,referido,1
41,basico,tarjeta_debito,0.0,13.0,0.0,mensual,3,web,0
36,basico,tarjeta_debito,3.0,30.0,6.0,mensual,1,web,1
33,estandar,efectivo,1.0,6.0,4.0,mensual,1,referido,1
13,basico,tarjeta_credito,1.0,12.0,10.0,mensual,3,referido,0
55,basico,tarjeta_debito,1.0,22.0,10.0,anual,1,web,0
-1,estandar,transferencia_bancaria,0.0,10.0,2.0,anual,0,redes_sociales,0
6,basico,tarjeta_credito,0.0,14.0,1.0,mensual,0,redes_sociales,0
26,basico,tarjeta_debito,3.0,20.0,5.0,mensual,3,call_center,0
39,basico,transferencia_bancaria,,,97.0,mensual,0,referido,1
28,basico,Tarjeta Credito,1.0,9.0,3.0,anual,2,,0
23,basico,tarjeta_debito,,7.0,4.0,mensual,1,redes_sociales,1
5,premium,tarjeta_credito,2.0,100.0,6.0,anual,1,redes_sociales,0
52,estandar,transferencia_bancaria,15.0,13.0,0.0,anual,0,call_center,0
24,basico,efectivo,0.0,14.0,9.0,mensual,1,call_center,0
37,estandar,transferencia_bancaria,1.0,,0.0,mensual,0,call_center,0
30,basico,tarjeta_credito,2.0,0.0,8.0,anual,2,call_center,1
45,estandar,tarjeta_credito,,14.0,3.0,anual,3,call_center,0
46,basico,tarjeta_credito,0.0,28.0,9.0,anual,3,call_center,0
42,basico,efectivo,,17.0,3.0,anual,3,call_center,1
36,estandar,transferencia_bancaria,1.0,7.0,6.0,mensual,0,,0
39,estandar,efectivo,2.0,16.0,7.0,mensual,0,redes_sociales,0
39,premium,tarjeta_debito,2.0,10.0,3.0,mensual,2,referido,0
49,estandar,,3.0,26.0,10.0,anual,1,,0
28,basico,transferencia_bancaria,,17.0,10.0,mensual,3,web,0
2,estandar,efectivo,,26.0,10.0,anual,-1,call_center,1
57,basico,tarjeta_credito,3.0,12.0,2.0,mensual,1,web,0
40,estandar,tarjeta_debito,1.0,26.0,9.0,anual,2,referido,0
55,BASICO,tarjeta_credito,3.0,8.0,3.0,mensual,2,redes_sociales,1
19,premium,tarjeta_debito,3.0,7.0,3.0,mensual,2,call_center,0
120,estandar,tarjeta_credito,3.0,12.0,4.0,mensual,0,call_center,1
53,premium,tarjeta_credito,0.0,-1.0,8.0,mensual,2,redes_sociales,0
42,premium,tarjeta_credito,0.0,1.0,,anual,1,,0
15,estandar,,2.0,1.0,1.0,mensual,2,call_center,1
21,estandar,efectivo,2.0,18.0,10.0,mensual,1,web,0
23,premium,tarjeta_credito,0.0,18.0,,mensual,3,referido,0
16,estandar,,3.0,,35.0,mensual,3,web,0
45,estandar,tarjeta_debito,2.0,9.0,5.0,anual,0,web,0
26,estandar,efectivo,1.0,5.0,0.0,mensual,2,referido,1
47,basico,tarjeta_credito,2.0,0.0,6.0,anual,1,referido,0
49,premium,,0.0,7.0,9.0,mensual,3,referido,0
54,estandar,tarjeta_credito,0.0,20.0,7.0,mensual,0,web,0
150,estandar,tarjeta_credito,3.0,18.0,,anual,3,redes_sociales,1
31,estandar,tarjeta_credito,3.0,2.0,9.0,mensual,0,web,0
42,estandar,tarjeta_debito,-1.0,13.0,,mensual,2,web,0
31,estandar,tarjeta_credito,3.0,22.0,,mensual,3,referido,0
8,estandar,tarjeta_debito,1.0,18.0,8.0,anual,1,call_center,0
49,premium,tarjeta_credito,3.0,1.0,,anual,1,call_center,0
27,estandar,tarjeta_credito,0.0,25.0,10.0,anual,0,,0
12,basico,efectivo,0.0,-1.0,4.0,mensual,3,referido,0
17,estandar,efectivo,1.0,4.0,9.0,mensual,3,redes_sociales,1
14,estandar,tarjeta_debito,2.0,17.0,1.0,mensual,15,referido,0
20,estandar,tarjeta_credito,0.0,22.0,10.0,mensual,3,referido,0
45,estandar,tarjeta_debito,1.0,10.0,0.0,mensual,3,referido,0
21,basico,tarjeta_debito,3.0,5.0,7.0,mensual,2,redes_sociales,1
1,premium,transferencia_bancaria,0.0,4.0,2.0,anual,3,call_center,0
32,basico,transferencia_bancaria,3.0,11.0,8.0,mensual,2,call_center,0
35,basico,efectivo,0.0,23.0,3.0,anual,0,,0
7,basico,transferencia_bancaria,1.0,0.0,10.0,anual,2,redes_sociales,0
32,estandar,transferencia_bancaria,,20.0,9.0,mensual,2,referido,1
16,basico,tarjeta_credito,1.0,9.0,2.0,mensual,0,referido,0
27,estandar,,0.0,,9.0,anual,1,referido,0
21,basico,efectivo,2.0,9.0,,mensual,1,referido,0
30,estandar,tarjeta_debito,3.0,0.0,0.0,anual,1,web,0
34,premium,tarjeta_debito,1.0,17.0,3.0,mensual,0,call_center,0
43,estandar,tarjeta_debito,1.0,13.0,6.0,anual,0,referido,0
15,estandar,efectivo,0.0,24.0,6.0,anual,1,,0
39,estandar,tarjeta_debito,3.0,23.0,6.0,mensual,15,call_center,0
3,estandar,transferencia_bancaria,2.0,2.0,9.0,mensual,0,call_center,1
19,premium,efectivo,0.0,18.0,7.0,anual,3,web,0
44,estandar,transferencia_bancaria,1.0,25.0,,mensual,3,referido,0
54,premium,tarjeta_debito,0.0,14.0,,mensual,3,redes_sociales,0
21,estandar,transferencia_bancaria,1.0,15.0,6.0,mensual,3,redes_sociales,0
15,premium,transferencia_bancaria,0.0,10.0,8.0,mensual,0,web,0
16,basico,efectivo,3.0,27.0,,mensual,2,web,0
24,premium,transferencia_bancaria,3.0,50.0,9.0,mensual,2,web,1
32,basico,efectivo,,18.0,2.0,mensual,3,web,0
13,premium,efectivo,1.0,17.0,4.0,mensual,2,web,0
6,basico,,,17.0,6.0,mensual,0,redes_sociales,1
22,basico,efectivo,0.0,9.0,1.0,mensual,1,referido,1
21,premium,tarjeta_debito,3.0,1.0,0.0,mensual,1,call_center,1
13,basico,tarjeta_credito,0.0,27.0,9.0,mensual,2,call_center,0
29,estandar,efectivo,2.0,7.0,9.0,mensual,1,,1
27,premium,,2.0,15.0,4.0,anual,2,call_center,0
0,basico,tarjeta_credito,0.0,15.0,6.0,anual,0,web,0
9,basico,tarjeta_debito,,12.0,10.0,anual,2,referido,1
15,estandar,transferencia_bancaria,3.0,9.0,93.0,mensual,1,redes_sociales,0
7,estandar,,1.0,25.0,7.0,mensual,0,,0
8,estandar,efectivo,1.0,5.0,,anual,2,,0
6,basico,transferencia_bancaria,1.0,,2.0,mensual,2,redes_sociales,1
12,basico,efectivo,2.0,-1.0,10.0,anual,3,call_center,1
50,basico,efectivo,0.0,21.0,1.0,mensual,1,redes_sociales,0
43,estandar,tarjeta_credito,0.0,100.0,5.0,mensual,0,web,0
21,estandar,tarjeta_credito,,23.0,8.0,mensual,0,,0
57,estandar,tarjeta_credito,1.0,25.0,2.0,mensual,1,web,0
28,estandar,tarjeta_debito,0.0,18.0,5.0,mensual,3,redes_sociales,0
15,estandar,tarjeta_credito,2.0,22.0,3.0,anual,3,referido,0
4,estandar,transferencia_bancaria,1.0,1.0,3.0,mensual,3,web,0
4,estandar,transferencia_bancaria,3.0,7.0,2.0,mensual,2,,0
32,estandar,tarjeta_debito,2.0,0.0,5.0,anual,2,redes_sociales,0
26,estandar,tarjeta_credito,3.0,25.0,1.0,mensual,3,referido,0
54,basico,tarjeta_credito,3.0,18.0,4.0,mensual,2,redes_sociales,0
33,premium,efectivo,1.0,13.0,6.0,anual,0,referido,0
45,basico,tarjeta_credito,3.0,17.0,5.0,mensual,0,web,0
0,basico,tarjeta_debito,0.0,12.0,3.0,anual,3,web,0
12,basico,tarjeta_debito,,30.0,7.0,mensual,2,redes_sociales,0
11,estandar,transferencia_bancaria,3.0,1.0,9.0,mensual,1,call_center,1
-1,basico,transferencia_bancaria,2.0,9.0,9.0,mensual,3,referido,0
29,premium,efectivo,0.0,2.0,,mensual,2,referido,0
25,estandar,tarjeta_credito,1.0,20.0,0.0,anual,3,call_center,0
10,estandar,transferencia_bancaria,1.0,23.0,5.0,mensual,0,web,0
53,premium,tarjeta_debito,1.0,15.0,9.0,mensual,0,call_center,0
120,basico,transferencia_bancaria,0.0,6.0,9.0,mensual,0,call_center,0
51,premium,tarjeta_debito,0.0,24.0,7.0,anual,3,redes_sociales,0
18,basico,transferencia_bancaria,3.0,28.0,9.0,anual,2,,1
14,basico,efectivo,15.0,9.0,50.0,mensual,0,call_center,1
26,basico,tarjeta_credito,0.0,,4.0,mensual,0,,0
29,estandar,,,10.0,2.0,mensual,15,redes_sociales,0
6,basico,tarjeta_credito,0.0,15.0,,mensual,3,redes_sociales,0
30,estandar,efectivo,,30.0,5.0,anual,3,web,0
56,estandar,tarjeta_debito,1.0,9.0,5.0,anual,1,redes_sociales,0
4,estandar,tarjeta_debito,2.0,22.0,3.0,mensual,3,referido,1
52,estandar,efectivo,,17.0,8.0,mensual,2,web,1
24,basico,tarjeta_debito,1.0,1.0,5.0,mensual,1,web,1
33,basico,tarjeta_credito,1.0,19.0,6.0,mensual,3,web,0
15,estandar,tarjeta_credito,1.0,,8.0,anual,3,call_center,0
38,premium,efectivo,1.0,7.0,6.0,anual,1,call_center,0
8,estandar,tarjeta_debito,,11.0,6.0,mensual,2,redes_sociales,1
41,premium,efectivo,1.0,29.0,0.0,mensual,0,redes_sociales,0
48,estandar,,2.0,13.0,6.0,anual,0,call_center,0
37,premium,efectivo,0.0,23.0,5.0,mensual,3,referido,0
26,basico,tarjeta_debito,3.0,0.0,6.0,mensual,2,call_center,0
40,premium,efectivo,,21.0,7.0,anual,1,call_center,0
22,estandar,transferencia_bancaria,0.0,5.0,6.0,mensual,1,referido,1
52,basico,efectivo,3.0,2.0,0.0,mensual,1,redes_sociales,0
9,estandar,tarjeta_debito,2.0,9.0,6.0,mensual,1,web,0
30,basico,efectivo,0.0,-1.0,7.0,mensual,3,referido,0
20,estandar,transferencia_bancaria,3.0,8.0,9.0,mensual,1,call_center,1
4,estandar,tarjeta_debito,1.0,3.0,2.0,mensual,2,redes_sociales,0
31,estandar,efectivo,3.0,2.0,9.0,mensual,2,redes_sociales,0
9,premium,transferencia_bancaria,3.0,24.0,,mensual,3,redes_sociales,1
29,basico,tarjeta_credito,2.0,26.0,,anual,2,referido,0
34,estandar,tarjeta_debito,2.0,25.0,0.0,mensual,1,,0
32,basico,tarjeta_credito,1.0,7.0,7.0,mensual,1,web,0
4,estandar,transferencia_bancaria,,20.0,9.0,mensual,0,referido,0
40,basico,efectivo,20.0,,6.0,mensual,3,redes_sociales,0
30,estandar,efectivo,0.0,,6.0,mensual,0,redes_sociales,0
2,basico,tarjeta_credito,1.0,20.0,3.0,mensual,2,referido,0
11,premium,tarjeta_credito,2.0,27.0,62.0,mensual,3,,0
20,basico,tarjeta_credito,2.0,7.0,5.0,mensual,-1,redes_sociales,0
43,estandar,tarjeta_debito,,14.0,2.0,anual,3,referido,0
6,premium,transferencia_bancaria,1.0,1.0,2.0,mensual,0,call_center,0
3,premium,transferencia_bancaria,3.0,12.0,0.0,anual,2,,0
36,estandar,tarjeta_debito,,19.0,2.0,mensual,1,referido,0
12,basico,,0.0,14.0,6.0,mensual,2,call_center,0
26,premium,,1.0,26.0,1.0,mensual,3,call_center,0
22,Premium,efectivo,2.0,16.0,7.0,mensual,3,web,1
46,basico,transferencia_bancaria,0.0,27.0,1.0,anual,2,redes_sociales,0
51,estandar,tarjeta_debito,2.0,1.0,6.0,anual,1,redes_sociales,1
1,estandar,transferencia_bancaria,2.0,9.0,2.0,mensual,2,redes_sociales,1
150,estandar,tarjeta_debito,2.0,5.0,3.0,mensual,3,call_center,0
53,basico,tarjeta_debito,,2.0,8.0,mensual,3,referido,1
50,estandar,tarjeta_debito,15.0,8.0,,anual,1,referido,0
5,basico,transferencia_bancaria,3.0,21.0,,mensual,2,call_center,1
27,basico,efectivo,1.0,10.0,9.0,anual,1,redes_sociales,0
32,basico,tarjeta_credito,1.0,,9.0,mensual,1,redes_sociales,0
33,premium,tarjeta_credito,3.0,4.0,9.0,mensual,2,call_center,1
53,estandar,,1.0,18.0,5.0,mensual,0,referido,0
20,estandar,tarjeta_credito,1.0,23.0,10.0,mensual,0,web,0
13,estandar,tarjeta_debito,,0.0,6.0,anual,3,web,0
38,basico,tarjeta_credito,3.0,14.0,10.0,mensual,1,call_center,1
20,estandar,tarjeta_debito,0.0,,,mensual,1,,0
39,estandar,tarjeta_credito,3.0,1.0,6.0,anual,2,redes_sociales,0
38,premium,efectivo,2.0,11.0,2.0,anual,0,redes_sociales,0
47,premium,efectivo,0.0,24.0,,mensual,3,web,0
34,premium,transferencia_bancaria,3.0,8.0,9.0,mensual,1,call_center,1
